Username,ID,SurveyDate,Level,Wins,Title,Effect,Pet,Death,GearEquipped,VIP
M1M1L0V3SC4K3S,1824351191,2024/10/23,77,5943,y,Lovely,Vampiric Epic faces,Macaron Mobile,Lovely Explosion,"Winsome Wizard Wand | Laser Finger Pointers | Panda Friend | Frosted Santa | Steampunk Zapper | Carnagecopia | Monster Friend | Otherworldly Sceptre | Slingshot | Exploding Heart | Epic Popper | Chocolate Milk | Saxophone | Epicsauce | Pumpkin Bucket | Sign: This Is Epic | Ham Bone | Protest Sign: Egg Hunt Nao | Santa | Big Flower | Christmas Tree Launcher | Carrot Slingshot | Ghost Bag | Bunch of Balloons | Slush Cannon | Clown Gun | Cursed Mummy Friend | Witches Brew | RedBLOX | Basketball | Fake C4 | Fire Extinguisher | Chocolate Bunny | Throwing Barrel | Marching Drum | Skeleton Foam Finger | Tom's Beans | Frost Potion | Pizza | Red Foam Finger | Chameleon Potion | Egg Hammer | Hot Dog | Noob Hot Chocolate | Pest Hammer | Starblox Latte | Fortune Telling Eight Ball | Big Stick | Silly Guitar | Protest Sign: Eggs are for eating | Marshmallow Chirp | Frosty the Snowfriend | Bloxiade | Metal Guitar | Rolling Pin | Wooden Sword | Green Epicsauce | Soul Lantern | Ticket Launcher | Spinning Robot Helmet | Jingle Bells | Ra'k Guitar | Snowball | Haunted Pizza | Disguise Watch | Apple Pie | Dance Potion | Item of Sentiment | The Christmas Creep | Throwing Spork | Egg Locater | Sign: This Is NOT Epic | Megagavel | Ghost Potion | Stop Hitting Yourself | Cake | A Very Special Monster | Waffle | Bug Net | Tambourine | Space Sandwich | Shark Launcher | Red Balloon | Protest Sign: Save the Noobs | The Celebrator | Slushie | Personal Fighter Jets | Torch | Red Stratobloxxer | Moonwalk Potion | Festive Plungers | Bugle | Watermelon | Love Hurts Ray Gun | Noise Maker | Slurpee | Moneybag | Whoopee Cushion | Misfortune Cookie | Lightblox Jar | Boomerang | Bloxilicious Bubble Gum | Police Badge | Drone | Rock It Guitar | Flower Feet | Ultra-Flat Spray Paint | Spray Paint | Noob Pop | EPIC Stamper | Christmas Cookie | Zombie Protest Sign | Monster Mash | R-80 | Magic Dragon | Goblet | Red Pirate Juice | Cowbell | Face Off Potion | Chimp Friend | Anubis Staff | Taco | Metal Detector | Eggstaff | Sparkler | Magical Umbrella | Magical Horseshoe | Bonk Bat | Double Cheezburger | Clown Bomb | Bloxxy Radar | Dragonshead Cannon | Staff of the Woodlands | Cymbals | Pinata Bat | Hot Chocolate | Bauble Staff | Halloween Sparkler | Cherry Pie | Ice Cream | Smore | Teddy Bloxpin | Retro Candy | Flower Crossbow | Roblox Snowglobe | Eggshot | Winter Snowfall | Didgeridoo | Selfie Stick | Vine Staff | Latke | Blue Throwing Barrel | Chick Horde | Flute | Protest Sign: Noobs | April Showers | Sea Sorcerer Staff | Pom-Poms | BANG! | Bandit Dog | Rainbow Fireworks"
nekosized,2614852503,2025/01/25,77,5943,y,Nametag,,Jumbo Hamster,Pedestrian,"Panda Friend | Alpaca Plushie | Epic Popper | Chocolate Milk | Party Horn | Halloween Sparkler | Bighead Potion | Ultra-Flat Spray Paint | Mega Mallet | Soul Lantern"
lovingidol,558272739,2024/11/24,77,5942,n,Lucky,Black sparkles,Star Buddy,Gravestone,"Otherworldly Sceptre | Big Flower | Monster Mash | Egg Hammer | Pumpkin Gun"
Sampioen16,2254551819,2024/09/04,77,5941,n,Silly,Confused,Little Python,Gravestone,"Haunted Pizza | Alpaca Plushie | Bacon Frying Pan | Pumpkin Bucket | Ham Bone | Hedgehog Friend | Robo Companion | Noob Pop | Vine Staff | Monster Mash | Silly Guitar | Piggybank | Double Cheezburger | The Christmas Creep | Epiczza"
stvrz4,2298988839,2024/06/18,77,5940,y,Nametag,Love Aura,Jumbo Elephant,Mined,"Exploding Heart | Sea Sorcerer Staff | Vine Staff | Staff of Neverending Frost | Big Flower | Pumpkin Gun | Slushie"
Bia_br28,284586849,2024/05/19,77,5940,n,.,,,Avalanche,"April Showers | Big Flower | Flower Feet | Clown Gun"
medinannn,1189464473,2024/05/31,77,5938,y,,,,Lovely Explosion,"Jingle Bell Launcher | Neon Laser Launcher | Spider Flinger | Christmas Tree Lights | Metal Guitar | Rainbow Fireworks | Item of Sentiment | Carnagecopia | Chicken Gun | Megagavel | Ghost Potion | Epic Popper | Jingle Bells | Stop Hitting Yourself | Sign: This Is Epic | A Very Special Monster | Halloween Sparkler | Ham Bone | Staff of Neverending Frost | Santa | Big Flower | Christmas Tree Launcher | The Celebrator | Confetti Cannon | Shark Launcher | Festive Plungers | Bandit Dog | The Christmas Creep | Cursed Mummy Friend | Fake C4 | Annoying Elf | Haunted Pizza | Noob Pop | Squid Launcher | Hot Chocolate | RAIG Table | Chimp Friend | AFK Sign | Metal Detector | Jack Frost | Protest Sign: Save the Noobs | Party Horn | Pumpkin Gun | Earth Horn | Killer Whale Launcher | Double Cheezburger | Monster Mash | Love Hurts Ray Gun | Frosty the Snowfriend | Roblox Snowglobe | Selfie Stick | Nunchucks | Snowball Launcher | Vine Staff | Epiczza | Spell Book of Ice Cold Revenge"
miiirraa_a,4678022885,2024/12/25,77,5938,n,Claus,Phasmobic,Little Penguin,Top of Tree,"Snowball Cannon | Bauble Detector"
Gozux,705781954,2024/09/20,77,5938,y,Moderator,Crow Feathers,Halrog,Curse,"Skull Gun | Trowel | Double Cheezburger | Pumpkin Bucket | Science Project: Potato | Blue Throwing Barrel | Beach Gun | Beach Staff | Microphone | Big Flower | Bacon Frying Pan | The Celebrator | Bandit Dog | Egg Locater | Bonk Bat | Moneybag | Stop Hitting Yourself | Instant Snowman | April Showers | Egg Hammer | Clown Gun | Epiczza | Necromancer Staff | Spooky Guitar"
fujiqlo,890778268,2025/02/04,77,5938,n,,,,Disco,"Stop Hitting Yourself | Snowball | Chocolate Bunny | Haunted Pizza | Liberty Torch | Moneybag | Hot Chocolate | Spray Paint | Cursed Mummy Friend | Staff of the Woodlands"
Darkwolfy204,2986670780,2024/08/02,77,5935,n,Fragrant,,Tiny Elephant,Flatten,"Stop Hitting Yourself | Metal Guitar | Speech Bubble | Torch | Moonwalk Potion | Dragonshead Cannon | Saxophone | Staff of the Woodlands"
chwunnie,3120358870,2025/01/11,77,5934,y,,Love Aura,,,"Snowball Cannon"
GrimBandit7,2398700882,2024/08/04,77,5930,n,Chef,Double Spotlights,Worst Thing I've Ever Seen,Bird of Prey,"Didgeridoo | Paint Grenade | Flute | Big Stick | Flower Crossbow | The Fiery Sun | Nunchucks | Stop Hitting Yourself"
Lionelitzme,1744241520,2024/08/10,77,5929,y,Neanderthal,Burning Flames,Hen,The Claw,"Beach Staff | Neon Laser Launcher | Noob Pop | TOMATOES! | Item of Sentiment | Frost Potion | Otherworldly Sceptre | Ink Launcher | Chameleon Potion | Flower Feet | Protest Sign: Save the Noobs | Anubis Staff | Pest Hammer | Rock It Guitar | Stop Hitting Yourself | Beach Ball | Chicken Gun | Dragonshead Cannon | Science Project: Volcano | Crab Horde | Santa | Alpaca Plushie | The Fiery Sun | April Showers | Confetti Cannon | Selfie Stick | Staff of the Woodlands | Noob Hot Chocolate | Beehive | Squid Launcher | Throwing Bolts | Piggybank"
BIDODON,337629135,2024/12/16,77,5928,n,bearface,Grey sparkles,Scorpion,Pedestrian,"Megagavel | Throwing Barrel | Bauble Detector | Snowball Cannon | Metal Detector | 2018 Fireworks | Dragonshead Cannon"
Alea1450,575792968,2025/01/21,77,5928,n,Partygoer,Yellow Anime Aura,Bat,Drop Stars,"Seranok's Golden Chalice of Fame | Space Sandwich | Witches Brew | Tom's Beans | Spell Book of Ice Cold Revenge | Pizza | Annoying Elf | Snowball Cannon | Starfish"
CosmosDrawing,1178727798,2025/02/11,77,5927,n,GAMER,Divinity,Star Buddy,Teleport Away,"Megagavel | Noob Pop"
MegaRedHat06,380927231,2025/01/27,77,5927,n,Bri'ish,,,Pause,"Winsome Wizard Wand | Staff of the Woodlands | Robo Companion | Ceramic Potion | Item of Sentiment | Metal Guitar | Wooden Sword | Moneybag | Halloween Sparkler | Pom-Poms"
C1lins,144937979,2024/05/02,77,5926,y,Nametag,Aurora Borealis,Rudolph the Reindeer,Zero Gravity Ragdoll,"Alpaca Plushie | Carnagecopia | Megagavel | Egg Hammer | RAIG Table | Monster Mash | Vine Staff | Necromancer Staff | Clown Gun"
lyssia345,652404406,2025/01/13,77,5926,n,Epic,Crystalized,Shark,Bouncy,"Spinning Robot Helmet | Snowball Cannon"
stvargrl,2524954075,2024/07/25,77,5926,y,.,,,Shark Attack,"RedBLOX | Basketball | Misfortune Cookie | Fire Extinguisher | Chocolate Bunny | Christmas Tree Lights | TOMATOES! | Chicken Gun | Shark Launcher | Lightblox Jar | The Christmas Creep | Snowball | Bacon Frying Pan | Egg Locater | Squid Launcher | Item of Sentiment | Ink Launcher | Sign: This Is NOT Epic | Slushie | Snowball Launcher | Bighead Potion | Magical Umbrella | Starblox Latte | Bonk Bat | Pest Hammer | Saxophone | Stop Hitting Yourself | Moneybag | Cymbals | Ancient Firecracker | Hot Chocolate | Fortune Telling Eight Ball | Green Epicsauce | Rolling Pin | Roblox Snowglobe | Cherry Pie | Staff of Neverending Frost | Tambourine | Teddy Bloxpin | Christmas Tree Launcher | Flower Crossbow | Big Flower | Speech Bubble | Winter Snowfall | Santa | Ultra-Flat Spray Paint | Frosty the Snowfriend | Mega Mallet | R-80 | Soul Lantern | Chocolate Milk | Slush Cannon | Noob Hot Chocolate | Slurpee | Jingle Bells | Tiger Warrior Club | Neon Laser Launcher | Rainbow Fireworks"
sanastagram,383561584,2025/01/20,77,5925,y,Princess,,,Zero Gravity,"Throwing Barrel | Monster Mash | Staff of the Woodlands"
gwwenyth,295030338,2024/11/14,77,5924,n,,,,Bird of Prey,"Foam Finger | TOMATOES! | Carnagecopia | Staff of the Woodlands | Pest Hammer | Pumpkin Gun | Ham Bone | Bugle"
Averageguywho,3145031971,2024/11/15,77,5921,y,Assassin,Lich Aura,Halrog,Halrog of Prey,"Neon Laser Launcher | 4th of July Fireworks | Megagavel | Skull Gun | Chepi the Mushroom Cat | Clown Gun | Skelefriend | 8-Bit Ninja Stars | Soul Lantern | Science Project: Volcano | Pumpkin Gun | Spook Launcher | Kittypult | Boba Tea | Pink Coconut Drink | Shade Potion | Mega Mallet | Ghost Potion | Lollipop Cat | Necromancer Staff | Caltrops"
nngocs,592694502,2024/06/17,77,5921,n,,Musical Barrier,,,"Panda Friend | Bacon Frying Pan | Pumpkin Gun | Staff of the Woodlands | The Fiery Sun | Ticket Launcher | Disguise Watch"
xXrenxX_X,1371923889,2024/11/10,77,5917,y,,,,Lightning,"Pumpkin Staff | Clown Gun"
hazewrlddd,21011700,2024/05/11,77,5916,n,,,,Curse,"Epicsauce | Protest Sign: Noobs | Magical Umbrella | Teddy Bloxpin | Stop Hitting Yourself | Dragonshead Cannon"
Aresyin,744057058,2024/07/04,77,5916,y,VANQUISHER,Wrathful Eye,Mummy Beast,Bird of Prey,"Powerful Paintbrush | iLift Three | Skull Gun | Snowman Gun | The Fiery Sun | Mega Mallet | Science Project: Volcano"
domisraka,1295375254,2024/11/04,77,5916,n,,,,Gravestone,"Laser Finger Pointers | Noob Pop | Jack Frost | Snowman Gun | Ultra-Flat Spray Paint | Ghost Potion"
sh_myla,118708788,2025/02/18,77,5915,n,,,,Water Drop,"Alpaca Plushie | Otherworldly Sceptre | Chocolate Milk | Stop Hitting Yourself | Rainbow Fireworks | Clown Gun | Staff of the Woodlands | Spray Paint | Snowball Cannon"
Lunita_UwUr,529418182,2024/10/07,77,5915,n,Winner,Butterflies,,Camouflage,"Stop Hitting Yourself | Hot Chocolate | Clown Gun | Teddy Bloxpin"
LYBTCC,3252655387,2024/09/07,77,5915,y,,,Big Friendly Bee,Shark Attack,"Laser Finger Pointers | Jingle Bell Launcher | Neon Laser Launcher | Panda Friend | Disguise Watch | Alpaca Plushie | Item of Sentiment | Monster Friend | Throwing Spork | Egg Locater | Otherworldly Sceptre | Ink Launcher | Slingshot | Exploding Heart | Epic Popper | Skull Gun | Protest Sign: Save the Noobs | Spell Book of Ice Cold Revenge | Hedgehog Friend | Dragon Plushie | Shark Launcher | Sea Sorcerer Staff | Pumpkin Bucket | Bug Net | Ham Bone | Director's Clapboard | Space Sandwich | Epiczza | Eggshot | Big Flower | The Celebrator | Ghost Potion | Carrot Slingshot | Flute | Red Stratobloxxer | Tennis Racket | Annoying Elf | Bunch of Balloons | Green Epicsauce | Slush Cannon | Game Studio Executive Briefcase | Whoopee Cushion | R-80 | Spray Paint | Cursed Mummy Friend | Didgeridoo | Bloxilicious Bubble Gum | RedBLOX | Basketball | Misfortune Cookie | April Showers | Chocolate Bunny | Rolling Pin | Metal Guitar | EPIC Stamper | Robo Companion | Noob Pop | TOMATOES! | Ancient Firecracker | Monster Mash | Pizza | Chameleon Potion | Egg Hammer | Magical Umbrella | Frost Potion | Chimp Friend | Party Horn | Taco | Metal Detector | Protest Sign: Touch Grass | Sparkler | Torch | Dragonshead Cannon | Pest Hammer | Starblox Latte | Staff of the Woodlands | Science Project: Potato | Earth Horn | Cymbals | Pinata Bat | Double Cheezburger | Fortune Telling Eight Ball | Skele-tar | Big Stick | Hot Dog | Cherry Pie | Marshmallow Chirp | Giant Ninja Star | Teddy Bloxpin | Flower Feet | Flower Crossbow | Roblox Snowglobe | Red Balloon | The Fiery Sun | Face Off Potion | Vine Staff | Nunchucks | Mega Mallet | Watermelon | Soul Lantern | Ticket Launcher | Stop Hitting Yourself | Epicsauce | 8-Bit Staff | Pom-Poms | Tiger Warrior Club | Chicken Gun | Rainbow Fireworks"
bvxlah,1269370365,2024/12/31,77,5915,n,,,Polygonal Snowman,The Claw,"Bauble Detector | Victrola | Snowman Gun | Snowball Cannon"
mimi654323,1483737665,2024/12/01,77,5914,n,Vyrelord,Bubblehead,Rudolph the Reindeer,Balloon,"Snowball | Spider Flinger | Chicken Gun | Icicle Cannon | Noob Pop | Skeleton Foam Finger | The Christmas Creep | Eggshot | Egg Locater | Pizza | Sonic Boom Tuba | AFK Sign | Pumpkin Gun | Victrola | Magical Umbrella | Epic Popper | Exploding Heart | Pest Hammer | Saxophone | Science Project: Volcano | Stop Hitting Yourself | Metal Detector | Monster Mash | Pinata Bat | The Celebrator | Clown Gun | Slush Cannon | Pumpkin Bucket | Protest Sign: Eggs are for eating | Big Flower | Frosty the Snowfriend | Teddy Bloxpin | Christmas Tree Launcher | Santa | Roblox Snowglobe | Rolling Pin | Red Stratobloxxer | Green Epicsauce | Selfie Stick | Shade Potion | R-80 | Ghost Bag | Soul Lantern | Ticket Launcher | Protest Sign: Noobs | RoVacuum | Epiczza | Party Horn | Staff of the Woodlands | Roman Candle | Frisbee"
jellyriin,2677613808,2025/01/17,77,5913,y,,,,,"Christmas Tree Lights | Teddy Bloxpin"
3kuse,1578739388,2025/02/10,77,5913,y,Loser,,,The Claw,"Laser Finger Pointers | Killer Whale Launcher | Megagavel"
hannahIuv1,698518922,2024/11/12,77,5911,n,Miner,Halo,All Nighter Potoo,Drop Coins,"RedBLOX | Squid Launcher | Frost Potion | Ghost Potion | Disguise Watch | Big Stick | Epicsauce | Giant Ninja Star | Retro Candy | Soul Lantern"
Marusa77zz,1547825848,2024/08/10,77,5911,y,Nametag,Aura,Green Soul,The Claw,"Laser Finger Pointers | Baseball Bat | Annoying Elf | Panda Friend | Frosted Santa | Carnagecopia | Monster Friend | Hedgehog Friend | Otherworldly Sceptre | Flower Feet | Chocolate Milk | Saxophone | Epicsauce | Protest Sign: Blame John | Dragon Plushie | Pumpkin Bucket | Blueberry Pie | Ham Bone | Instant Snowman | Protest Sign: Egg Hunt Nao | Santa | Big Flower | Christmas Tree Launcher | Staff of Sparks | Ghost Bag | Bunch of Balloons | Shuriken | Cursed Mummy Friend | Witches Brew | RedBLOX | Basketball | Fake C4 | Fire Extinguisher | Chocolate Bunny | Throwing Barrel | Beehive | TOMATOES! | Marching Drum | Skeleton Foam Finger | Squid Launcher | Tom's Beans | Frost Potion | Pizza | Red Foam Finger | Chameleon Potion | Jack Frost | Hot Dog | Pirate Juice | Noob Hot Chocolate | Pest Hammer | Starblox Latte | Paint Grenade | 4-String Roblocaster | RAIG Table | Silly Guitar | Protest Sign: Eggs are for eating | Marshmallow Chirp | Frosty the Snowfriend | Bloxiade | Metal Guitar | Rolling Pin | The Fiery Sun | Wooden Sword | Confetti Cannon | Shade Potion | Green Epicsauce | Soul Lantern | Ticket Launcher | 8-Bit Staff | Jingle Bells | Touchdown Football | Snowball | Spider Flinger | Disguise Watch | Frying Pan | Apple Pie | Dance Potion | Item of Sentiment | The Christmas Creep | ROBAR eXtreme Chocolate Crunch | Throwing Spork | Egg Locater | Rainbow Fireworks | Mariachi Guitar | Beach Ball | Liberty Torch | Boba Tea | Ghost Potion | Pink Coconut Drink | Red Balloon | Chocolate Gelt | Shark Launcher | Protest Sign: Noobs | Flute | Skull Gun | Noise Maker | Neon Laser Launcher | Cake | A Very Special Monster | R-80 | Waffle | Slush Cannon | Director's Clapboard | Ultra-Flat Spray Paint | Staff of Neverending Frost | Badblox Hatchling | Space Sandwich | Crab Horde | Torch | Compass | Tennis Racket | Goblet | Spinning Robot Helmet | Foam Finger | Red Stratobloxxer | Moonwalk Potion | Tambourine | Punk Wrist Cuff | Stop Hitting Yourself | Smore | Piggybank | Slurpee | Face Off Potion | Whoopee Cushion | Lightblox Jar | Zombie Protest Sign | Lucky Harp | Bloxilicious Bubble Gum | Police Badge | Yellow Card | Turkey Leg | Slingshot | Eggstaff | Magic Dragon | Noob Pop | Robo Companion | Christmas Cookie | Halloween Sparkler | Science Project: Potato | Monster Mash | Staff of the Woodlands | April Showers | Christmas Tree Lights | Red Pirate Juice | Magical Horseshoe | Cowbell | Chimp Friend | Haunted Pizza | Taco | Metal Detector | Bloxxy Radar | Sparkler | Magical Umbrella | Science Project: Volcano | Bonk Bat | Double Cheezburger | Party Horn | Pumpkin Gun | Dragonshead Cannon | Ice Cream | Cymbals | Bug Net | Hot Chocolate | Bauble Staff | Korblox Deathspeaker's Spell Book | Didgeridoo | Spray Paint | Cherry Pie | Latke | Clown Bomb | Teddy Bloxpin | Lightning Wand | Crowbar | Roblox Snowglobe | Misfortune Cookie | Winter Snowfall | Fortune Telling Eight Ball | Drone | Eggshot | Ancient Firecracker | Chicken Gun | Ink Launcher | Watermelon | Bugle | Bandit Dog | Epiczza | Necromancer Staff | BANG! | Beach Staff | Spell Book of Ice Cold Revenge"
HySnow,110249933,2025/02/19,77,5911,n,,,,The Claw,"Otherworldly Sceptre | Staff of the Woodlands | Sign: This Is Epic | Torch | Lightblox Jar"
ultrastar240,400740054,2024/10/23,77,5911,n,Benevolent,Conscience,Red Soul,Zero Gravity Ragdoll,"Shark Launcher | Soul Lantern"
kabal_a,1609283569,2025/01/15,77,5910,y,Cupid,Red Divergent,,Abduct,"Otherworldly Sceptre | Snowball Cannon"
gravezta,661512358,2024/04/20,77,5910,n,barcode,Crumpets,Meerkat,Ascend,"Bloxilicious Bubble Gum | Foam Finger | Frying Pan | Otherworldly Sceptre | Red Foam Finger | Metal Detector | Egg Hammer | Epic Popper | Pest Hammer | Protest Sign: Eggs are for eating | Giant Ninja Star | Party Horn | Stop Hitting Yourself | The Celebrator | Cursed Mummy Friend | Flower Crossbow | Confetti Cannon | Nunchucks | Latke | Epicsauce | Chimp Friend | Starfish | Epiczza | Selfie Stick | BANG! | Ra'k Guitar"
gentos1111,2643492571,2025/02/11,77,5910,n,,,Wally the Wombat,Eggify,"Dragonshead Cannon | RedBLOX | Cake | Eggstaff | RAIG Table | Spider Flinger | Throwing Barrel | Protest Sign: Eggs are for eating | Apple Pie | Tambourine | Ancient Firecracker | Flower Crossbow | Big Flower | Christmas Tree Launcher | Eggshot | Egg Locater | Confetti Cannon | Otherworldly Sceptre | R-80 | Soul Lantern | Metal Detector | Halloween Sparkler | Egg Hammer | Drone | Epiczza | Stop Hitting Yourself | Pest Hammer | Party Horn | Staff of the Woodlands"
m0tivat8,377992574,2024/08/04,77,5907,n,Comical,Watermelons,,Freeze,"Witches Brew | Bloxilicious Bubble Gum | Geolocator | Misfortune Cookie | Foam Finger | Haunted Pizza | Disguise Watch | Ice Cream | Compass | Monster Friend | Tom's Beans | Pizza | Taco | Basketball | Hot Dog | Pirate Juice | BANG! | Chocolate Milk | Saxophone | Dragonshead Cannon | Stop Hitting Yourself | Monster Mash | Didgeridoo | Item of Sentiment | Moneybag | Laser Finger Pointers | Waffle | Pumpkin Bucket | Halloween Sparkler | Smore | Marshmallow Chirp | Tambourine | Teddy Bloxpin | Goblet | Bug Net | Zombie Protest Sign | Throwing Spork | Face Off Potion | Watermelon | Protest Sign: Eggs are for eating | Red Stratobloxxer | Green Epicsauce | Bloxiade | Bunch of Balloons | Flute | Protest Sign: Noobs | Bugle | Spinning Robot Helmet | Latke | Whoopee Cushion | Magical Umbrella | Lightblox Jar"
